URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.erincondren.com/life-planner-photo-floral,404,,4/10/16,Not found,Desktop,6/4/16
https://www.erincondren.com/life-planner-beautiful-reasons?color-id=39884,404,,5/16/16,Not found,Desktop,5/16/16
https://www.erincondren.com/bloom-teachers-lesson-planner,404,,4/21/16,Not found,Desktop,5/7/16
https://www.erincondren.com/braided-hues-address-book,404,,5/17/16,Not found,Desktop,5/20/16
https://www.erincondren.com/paint-it-plaid-covers-1,404,,6/4/16,Not found,Desktop,6/4/16
https://www.erincondren.com/esea-sand-dollars-note-cards,404,,6/4/16,Not found,Desktop,6/4/16
https://www.erincondren.com/interchangeable-covers-holiday,404,,3/21/16,Not found,Desktop,6/4/16
https://www.erincondren.com/palm-beach-classic-gift-label-set,404,,5/20/16,Not found,Desktop,5/21/16
https://www.erincondren.com/20132014-life-planner-paisley,404,,4/5/16,Not found,Desktop,5/31/16
https://www.erincondren.com/braided-hues-carryall-clutch,404,,5/17/16,Not found,Desktop,5/27/16
https://www.erincondren.com/butterfly-quote-covers,404,,5/18/16,Not found,Desktop,5/21/16
https://www.erincondren.com/paint-it-plaid-wedding-planner,404,,5/17/16,Not found,Desktop,5/18/16
https://www.erincondren.com/geodes-wedding-planner,404,,5/17/16,Not found,Desktop,5/25/16
https://www.erincondren.com/pink-ribbon,404,,4/20/16,Not found,Desktop,4/20/16
https://www.erincondren.com/geodes-file-folders,404,,5/18/16,Not found,Desktop,5/20/16
https://www.erincondren.com/braided-hues-wedding-planner,404,,5/18/16,Not found,Desktop,5/20/16
https://www.erincondren.com/lucky-me-metallic-gold-covers,404,,5/20/16,Not found,Desktop,6/2/16
https://www.erincondren.com/geodes-invitations,404,,5/20/16,Not found,Desktop,5/21/16
https://www.erincondren.com/palm-beach-wedding-planner,404,,5/18/16,Not found,Desktop,5/29/16
https://www.erincondren.com/idevice,404,,5/6/16,Not found,Desktop,5/10/16
